ID,Title,Year,Model Type,Mathematical structure ,Host,System Context,Microbial Organism,Acquired Resistance,PK/PD Parameters,Host Pathway Targeting,Analyzed Pathogen,Treatment Type,Intervention Strategies,Data Type,Spatial Dispersion,Fitness Cost,Immune Response,Sensitivity Analysis,External Validation,Evolution of Resistance,Drug Concentration,Economic Impact,Practical Application,Multiple Resistances Considered,Adverse Drug Effects
1,Stochastic modeling of  bacterial population growth with antimicrobial resistance ,2023,Stochastic,Stochastic Differential Equations,General,Within-Host,Bacteria,N/A,N/A,N/A,N/A,Monotherapy,"Evaluates the effect of antimicrobial treatment on bacterial populations, focusing on how different parameters (growth rate, antimicrobial rate, noise intensity) affect extinction or persistence of bacteria",Literature,No,No,No,Yes,No,No,No,No,No,No,No
2,The ingredients for an antimicrobial mathematical modelling broth,2022,Deterministic,Ordinary Differential Equations,General,Within-Host,Bacteria,N/A,Pharmacokinetics/Pharmacodynamics,N/A,N/A,Monotherapy,"Antibiotic dosing regimens, drug efficacy, and immune-response strength",Assumed,No,No,Yes,No,No,No,Yes,No,No,No,No
3,The role of the environment in dynamics of antibiotic resistance in humans and animals: A modelling study,2022,Deterministic,Ordinary Differential Equations,Human and Animal,One-Health,Bacteria,Selection and Transmission,N/A,N/A,N/A,N/A,Curtailing antibiotic use in animals and Reducing environment-to-human transmission,"Clinical, Literature and Assumed ",No,No,No,Yes,Yes,No,No,No,Yes,No,No
4,Assessing the impact of mutations and horizontal gene transfer on the AMR control: A mathematical model,2023,Deterministic,Ordinary Differential Equations,Human,Within-Host,Bacteria,Mutation and HGT - Conjugation,N/A,N/A,N/A,Monotherapy,Reducing mutations and limiting mobile genetic elements (MGE) mediated HGT,Literature,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
5,The risk of drug resistance during long-acting antimicrobial therapy,2022,Both,Ordinary Differential Equations,Human,Within-Host,Virus,Mutation,Pharmacokinetics/Pharmacodynamics,N/A,N/A,Monotherapy,Variation in dosage frequency and Drug absorption profiles,Literature,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No
6,Effective antibiotic dosing in the presence of resistant strains,2022,Deterministic,Ordinary Differential Equations,In-Vitro,Laboratory,Bacteria,HGT - Conjugation and HGT - Transformation,Pharmacokinetics/Pharmacodynamics,N/A,N/A,Monotherapy,"Evaluates optimal antibiotic dosing strategies, including: High initial dosing with tapering; Periodic dosing; Discrete dosing protocols.",Literature,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
7,Mathematical modelling of antibiotic interaction on evolution of antibiotic resistance: An analytical approach,2024,Deterministic,Ordinary Differential Equations,General,Within-Host,Bacteria,Mutation,Pharmacokinetics/Pharmacodynamics,N/A,Staphylococcus aureus,Polytherapy,Different antibiotic combination therapies: synergistic and antagonistic,Literature and Hypothesis,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No
8,Mathematical modelling of community acquired antibiotic resistant infections,2024,Deterministic,Ordinary Differential Equations,Human,Community,Bacteria,Mutation,Pharmacokinetics,N/A,N/A,Monotherapy,Rational and reduced antibiotic use in the community,Literature and Assumed,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
9,Antibiotic drug-resistance as a complex system driven by socio-economic growth and antibiotic misuse,2019,Deterministic,Ordinary Differential Equations,Human,Community,Bacteria,Selection and Transmission,N/A,N/A,N/A,Monotherapy,"Reduction of treatment cost, educational and awareness campaigns, and financial/governmental support as public health interventions",Literature and Calibrated,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No
10,Aggressive or moderate drug therapy for infectious diseases? Trade-offs between different treatment goals at the individual and population levels,2019,Both,Ordinary Differential Equations and Gillespie Algoritm,Human,Within- and Between-Host,General,Mutation,N/A,N/A,N/A,Monotherapy,"Drug dose variation (low, intermediate, high)",Literature,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
11,Mobile compensatory mutations promote plasmid survival,2019,Deterministic,Ordinary Differential Equations,General,Within-Host,Bacteria,Mutation and HGT - Conjugation,N/A,N/A,N/A,Monotherapy,N/A,Literature,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
12,Modeling bacterial resistance to antibiotics: Bacterial conjugation and drug effects,2021,Deterministic,Ordinary Differential Equations,Human,Within-Host,Bacteria,HGT - Conjugation,Pharmacokinetics/Pharmacodynamics,N/A,N/A,Both,"Different drug regimens, delays in administering initial and second doses, antibiotic switching between drugs with different activity spectra.",Literature,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
13,Within-host bacterial growth dynamics with both mutation and horizontal gene transfer,2021,Deterministic,Ordinary Differential Equations,General,Within-Host,Bacteria,Mutation and HGT - Conjugation,N/A,N/A,N/A,N/A,N/A,Literature,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No
14,Combining mutation and horizontal gene transfer in a within-host model of antibiotic resistance,2021,Deterministic,Ordinary Differential Equations,Animal,Within-Host,Bacteria,Mutation and HGT - Conjugation,N/A,N/A,N/A,Monotherapy, Applying and then relaxing antibiotic control,Literature,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No
15,Design principles of collateral sensitivity-based dosing strategies,2021,Both,Ordinary Differential Equations,Human,Within-Host,Bacteria,Mutation,Pharmacokinetics/Pharmacodynamics,N/A,N/A,Polytherapy,Different antibiotic dosing regimens,Literature,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
16,"Assessing the relative importance of bacterial resistance, persistence and typer-mutation for antibiotic treatment failure",2022,Stochastic,Ordinary Differential Equations,General,Within-Host,Bacteria,Mutation,Pharmacokinetics/Pharmacodynamics,N/A,N/A,Monotherapy,"Different antibiotic concentrations and dosage regimens, simulation of relapse after treatment interruption, comparison between bactericidal and bacteriostatic antibiotics",Literature and Simulated,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
17,Evaluation of a new antiresistic strategy to manage antibiotic resistance,2023,Deterministic,Ordinary Differential Equations,N/A,Community,Bacteria,N/A,N/A,N/A,N/A,Monotherapy,interventions that actively reduce the rate of population resistance  ,Literature ,No,No,No,No,No,Yes,No,No,Yes,No,No
18,"A stochastic model of antibiotic misuse, economy, and drug resistance: Relating mutant extinction probability to socioeconomic and epidemiological factors",2023,Stochastic,Stochastic Differential Equations,Human,Community,Bacteria,Mutation and HGT - Conjugation,N/A,N/A,N/A,N/A,Reduction in antibiotic misuse through increased income and awareness,Literature ,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
19,Community interactions drive the evolution of antibiotic tolerance in bacteria,2023,Deterministic,Ordinary Differential Equations,In-Vitro,Laboratory,Bacteria,Mutation,Pharmacokinetics,N/A,Escherichia coli,Monotherapy,Lysine supplementation to modulate community protection strength ,Experimental,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No
20,Dynamical model of antibiotic responses linking expression of resistance genes to metabolism explains emergence of heterogeneity during drug exposures,2024,Both,Ordinary Differential Equations and Gillespie Algoritm,In-Vitro,Laboratory,Bacteria,N/A,Pharmacokinetics/Pharmacodynamics,N/A,Escherichia coli,Monotherapy,Dynamics of response to varying doses of antibiotic and nutrients ,Literature and Experimental ,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No
21,Modeling spatial evolution of multi-drug resistance under drug environmental gradients,2024,Deterministic,Partial Differential Equations,General,General,Bacteria,Selection,N/A,N/A,N/A,Polytherapy,Spatial optimization of drug concentration gradients ,Simulated,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
22,Antibiotic dose and nutrient availability differentially drive the evolution of antibiotic resistance and persistence ,2024,Stochastic,Gillespie algorithm,In-Vitro,Laboratory,Bacteria,Mutation,Pharmacodynamics,N/A,Escherichia coli,Monotherapy,Different combinations of antibiotic doses and nutrient levels during treatment ,Literature and Experimental,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
23,"A stochastic analysis of the interplay between antibiotic dose, mode of action, and bacterial competition in the evolution of antibiotic resistance",2023,Stochastic,Gillespie algorithm,Human,Within-Host,Bacteria,Mutation and Transmission,Pharmacodynamics,N/A,N/A,Monotherapy,"Different antibiotic doses, treatment durations, and modes of action (biostatic vs. biocidal antibiotics)",Literature,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
24,Resist or perish: Fate of a microbial population subjected to a periodic presence of antimicrobial,2020,Stochastic,Gillespie algorithm,General,General,General,Mutation,N/A,N/A,N/A,Monotherapy,"Periodic alternations of drug presence/absence, concentration variation, comparison of modes of action: biostatic vs. biocidal, exploration of dose regimens",Literature,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
25,Mathematical model predicts anti-adhesion–antibiotic–debridement combination therapies can clear an antibiotic resistant infection,2019,Deterministic,Ordinary Differential Equations,Animal,Laboratory,Bacteria,Mutation,Pharmacokinetics/Pharmacodynamics,N/A,Pseudomonas aeruginosa,Polytherapy,"Combination therapies involving antibiotics, anti-adhesion therapy, and debridement",Literature and Experimental,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
26,Quantitative models of phage-antibiotic combination therapy,2020,Deterministic,Ordinary Differential Equations,Animal,Within-Host,Bacteria,Mutation,Pharmacokinetics/Pharmacodynamics,N/A,Pseudomonas aeruginosa,Polytherapy,"Single-phage therapy, antibiotic therapy, phage–antibiotic combination, and inclusion/exclusion of immune response",Literature and Simulated,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
27,Population structure across scales facilitates coexistence and spatial heterogeneity of antibiotic-resistant infections,2020,Deterministic,Ordinary Differential Equations,Human,Community,Bacteria,Selection,N/A,N/A,N/A,Monotherapy,Intervention strategies related to the distribution and allocation of antibiotics,Literature and Clinical,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No
28,Drug-induced resistance evolution necessitates less aggressive treatment,2021,Both,Ordinary Differential Equations and Gillespie Algoritm,General,General,General,Mutation,Pharmacodynamics,N/A,N/A,Monotherapy,Dose optimization to minimize evolutionary rescue,Literature,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
29,Understanding the evolution of multiple drug resistance in structured populations,2021,Deterministic,Ordinary Differential Equations,Human,Between-Host,Bacteria,Mutation and Recombination,N/A,N/A,N/A,Both,"Drug prescription strategies: Mixing, Combination therapy, and Cycling",Literature,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No
30,Linking within- and between-host scales for understanding the evolutionary dynamics of quantitative antimicrobial resistance,2023,Deterministic,Integro-Differential Equations and Partial Differential Equations,Human,Within- and Between-Host,Bacteria,Mutation,N/A,N/A,N/A,Monotherapy,Treatment rate in the host population and Timing of treatment initiation/cessation,Literature,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No
31,Modeling antibiotic use strategies in intensive care units: Comparing de-escalation and continuation,2020,Deterministic,Ordinary Differential Equations,Human,Hospital/ICUs,Bacteria,Selection and Transmission,N/A,N/A,Pseudomonas aeruginosa,Monotherapy,Compares two main intervention strategies: antimicrobial De-escalation vs antimicrobial Continuation,Literature,No,Yes,No,Yes,No,No,No,No,Yes,No,No
32,Microbiome-pathogen interactions drive epidemiological dynamics of antibiotic resistance: A modeling study applied to nosocomial pathogen control,2021,Deterministic,Ordinary Differential Equations,Human,Hospital/ICUs,Bacteria,HGT - Conjugation,N/A,N/A,Clostridioides difficile and Staphylococcus aureus\nEscherichia coli and Klebsiella pneumoniae,Polytherapy,"Contact precautions, antibiotic stewardship, microbiome recovery therapy",Literature and Estimated,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No
33,Stability and periodic solutions for a model of bacterial resistance to antibiotics caused by mutations and plasmids,2019,Deterministic,Ordinary Differential Equations,Human,Within-Host,Bacteria,Mutation and HGT - Conjugation,Pharmacokinetics,N/A,Staphylococcus aureus,Monotherapy,N/A,Literature,No,Yes,Yes,No,No,No,No,No,Yes,No,No
34,Modelling the synergistic effect of bacteriophage and antibiotics on bacteria: Killers and drivers of resistance evolution,2022,Deterministic,Ordinary Differential Equations,In-Vitro,Laboratory,Bacteria,HGT - Transduction,Pharmacokinetics/Pharmacodynamics,N/A,Staphylococcus aureus,Both,Evaluates intervention strategies by varying the timing and concentrations of antibiotics and phage to optimize bacterial eradication and reduce resistance.,Experimental and Literature,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
35,A birth–death model to understand bacterial antimicrobial heteroresistance from time-kill curves,2024,Stochastic,Stochastic Differential Equations,In-Vitro,Laboratory,Bacteria,Mutation,Pharmacodynamics,N/A,N/A,Monotherapy,Impact of antimicrobial concentration on bacterial population dynamics and heteroresistance distribution,Simulated,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
36,Multiple transmission routes in nosocomial bacterial infections — A modeling study,2024,Deterministic,Ordinary Differential Equations,Human,Hospital/ICUs,Bacteria,Transmission,N/A,N/A,Acinetobacter baumanni,N/A,Reducing transmission rates,Clinical and Fitted parameters,No,No,No,Yes,No,No,No,No,Yes,No,No
